@relation 'discricoches-weka.filters.unsupervised.attribute.Remove-R7-11,15-17'

@attribute ﻿sexo {mujer,varón}
@attribute edad numeric
@attribute grupedad {'menor de 25',25-40,'más de 55',40-55}
@attribute naños numeric
@attribute tipovehiculo {Motocicleta,Turismo,'Monovolumen/ 4x4',Camioneta/Furgoneta}
@attribute antigvehiculo {1-4,'menos de 1',10+,5-10}
@attribute edadvehiculo numeric
@attribute antigcarnet numeric
@attribute kilometros numeric
@attribute siniUA {'con siniestros','sin siniestros'}

@data
mujer,18,'menor de 25',1,Motocicleta,1-4,1.947064,0,35135,'con siniestros'
varón,18,'menor de 25',1,Motocicleta,1-4,1.614857,0,28062,'con siniestros'
varón,18,'menor de 25',1,Motocicleta,1-4,1.614857,0,28062,'con siniestros'
varón,18,'menor de 25',1,Motocicleta,1-4,1.614857,0,28062,'con siniestros'
varón,18,'menor de 25',1,Motocicleta,1-4,1.614857,0,28062,'con siniestros'
varón,18,'menor de 25',1,Motocicleta,1-4,1.614857,0,28062,'con siniestros'
mujer,18,'menor de 25',1,Motocicleta,1-4,2.337642,0,39427,'con siniestros'
varón,18,'menor de 25',1,Motocicleta,1-4,2.923393,0,50561,'con siniestros'
varón,18,'menor de 25',1,Motocicleta,1-4,3.283617,0,54019,'con siniestros'
varón,18,'menor de 25',1,Motocicleta,1-4,3.320172,0,59549,'con siniestros'
varón,18,'menor de 25',1,Motocicleta,'menos de 1',0.462403,0,16968,'con siniestros'
varón,18,'menor de 25',1,Motocicleta,'menos de 1',0.462403,0,16968,'con siniestros'
varón,18,'menor de 25',1,Motocicleta,'menos de 1',0.462403,0,16968,'con siniestros'
varón,18,'menor de 25',1,Motocicleta,'menos de 1',0.462403,0,16968,'con siniestros'
varón,18,'menor de 25',1,Motocicleta,'menos de 1',0.462403,0,16968,'con siniestros'
varón,20,'menor de 25',1,Turismo,'menos de 1',0.490896,1,11665,'con siniestros'
varón,20,'menor de 25',1,Turismo,'menos de 1',0.490896,1,11665,'con siniestros'
mujer,18,'menor de 25',1,Turismo,1-4,1.467195,0,28089,'con siniestros'
varón,18,'menor de 25',1,Motocicleta,1-4,1.685861,0,33073,'con siniestros'
varón,18,'menor de 25',1,Turismo,1-4,2.615761,0,45891,'con siniestros'
varón,18,'menor de 25',1,Turismo,1-4,2.615761,0,45891,'con siniestros'
varón,18,'menor de 25',1,Turismo,1-4,2.615761,0,45891,'con siniestros'
varón,18,'menor de 25',1,Turismo,1-4,2.615761,0,45891,'con siniestros'
varón,18,'menor de 25',1,Turismo,1-4,2.615761,0,45891,'con siniestros'
mujer,22,'menor de 25',3,'Monovolumen/ 4x4',10+,11,2,170499,'con siniestros'
mujer,23,'menor de 25',3,Motocicleta,1-4,1.664262,4,25473,'con siniestros'
mujer,28,25-40,2,'Monovolumen/ 4x4',1-4,2.293907,8,39153,'con siniestros'
varón,18,'menor de 25',1,Turismo,'menos de 1',0.291501,0,9392,'con siniestros'
varón,18,'menor de 25',1,Turismo,'menos de 1',0.291501,0,9392,'con siniestros'
varón,18,'menor de 25',1,Turismo,'menos de 1',0.291501,0,9392,'con siniestros'
varón,18,'menor de 25',1,Turismo,'menos de 1',0.291501,0,9392,'con siniestros'
varón,18,'menor de 25',1,Turismo,'menos de 1',0.291501,0,9392,'con siniestros'
varón,18,'menor de 25',1,Turismo,'menos de 1',0.291501,0,9392,'con siniestros'
mujer,22,'menor de 25',3,'Monovolumen/ 4x4',10+,11,2,170499,'con siniestros'
mujer,18,'menor de 25',1,Motocicleta,1-4,1.323143,0,25700,'con siniestros'
mujer,18,'menor de 25',1,Motocicleta,1-4,1.323143,0,25700,'con siniestros'
mujer,18,'menor de 25',1,Motocicleta,1-4,1.323143,0,25700,'con siniestros'
mujer,18,'menor de 25',1,Turismo,1-4,3.844899,0,65766,'con siniestros'
mujer,18,'menor de 25',1,Turismo,1-4,3.844899,0,65766,'con siniestros'
mujer,18,'menor de 25',1,Motocicleta,1-4,1.323143,0,25700,'con siniestros'
mujer,18,'menor de 25',1,Turismo,1-4,3.844899,0,65766,'con siniestros'
mujer,18,'menor de 25',1,Turismo,1-4,3.844899,0,65766,'con siniestros'
mujer,18,'menor de 25',1,Turismo,1-4,3.844899,0,65766,'con siniestros'
mujer,18,'menor de 25',1,Turismo,1-4,3.844899,0,65766,'con siniestros'
mujer,18,'menor de 25',1,Turismo,1-4,3.844899,0,65766,'con siniestros'
mujer,18,'menor de 25',1,Turismo,1-4,3.844899,0,65766,'con siniestros'
mujer,18,'menor de 25',1,Turismo,1-4,3.844899,0,65766,'con siniestros'
mujer,18,'menor de 25',1,Turismo,1-4,3.844899,0,65766,'con siniestros'
mujer,18,'menor de 25',1,Turismo,1-4,3.844899,0,65766,'con siniestros'
mujer,18,'menor de 25',1,Turismo,1-4,3.844899,0,65766,'con siniestros'
mujer,18,'menor de 25',1,Turismo,1-4,3.844899,0,65766,'con siniestros'
mujer,18,'menor de 25',1,Turismo,1-4,3.844899,0,65766,'con siniestros'
mujer,18,'menor de 25',1,Turismo,1-4,3.844899,0,65766,'con siniestros'
mujer,18,'menor de 25',1,Turismo,1-4,3.844899,0,65766,'con siniestros'
mujer,18,'menor de 25',1,Turismo,1-4,3.844899,0,65766,'con siniestros'
mujer,18,'menor de 25',1,Motocicleta,1-4,1.323143,0,25700,'con siniestros'
mujer,18,'menor de 25',1,Motocicleta,1-4,1.323143,0,25700,'con siniestros'
mujer,18,'menor de 25',1,Turismo,1-4,3.844899,0,65766,'con siniestros'
mujer,18,'menor de 25',1,Motocicleta,1-4,1.323143,0,25700,'con siniestros'
mujer,18,'menor de 25',1,Motocicleta,1-4,1.323143,0,25700,'con siniestros'
mujer,18,'menor de 25',1,Motocicleta,1-4,1.323143,0,25700,'con siniestros'
mujer,18,'menor de 25',1,Turismo,1-4,3.844899,0,65766,'con siniestros'
mujer,18,'menor de 25',1,Motocicleta,1-4,1.323143,0,25700,'con siniestros'
varón,22,25-40,2,'Monovolumen/ 4x4',10+,11,2,170007,'con siniestros'
varón,24,'menor de 25',6,Turismo,1-4,3.558486,5,58114,'con siniestros'
varón,24,'menor de 25',9,'Monovolumen/ 4x4','menos de 1',0.772688,4,17391,'con siniestros'
varón,27,25-40,5,Turismo,5-10,7.641454,9,114368,'con siniestros'
varón,27,25-40,5,Turismo,5-10,8.727666,9,136462,'con siniestros'
mujer,27,25-40,5,Turismo,5-10,9.766799,9,151366,'con siniestros'
varón,30,25-40,4,Motocicleta,5-10,7.35155,11,115350,'con siniestros'
varón,30,25-40,3,Motocicleta,'menos de 1',0.442438,12,13347,'con siniestros'
varón,30,25-40,3,Turismo,'menos de 1',0.754813,12,21708,'con siniestros'
mujer,30,25-40,8,'Monovolumen/ 4x4',10+,13,11,202693,'con siniestros'
mujer,30,25-40,6,Turismo,5-10,9.56094,12,149035,'con siniestros'
mujer,33,25-40,12,'Monovolumen/ 4x4',10+,11,15,172796,'con siniestros'
mujer,34,25-40,6,Motocicleta,1-4,2.015553,15,33454,'con siniestros'
mujer,60,'más de 55',12,'Monovolumen/ 4x4','menos de 1',0.106662,38,6639,'con siniestros'
varón,60,'más de 55',12,'Monovolumen/ 4x4','menos de 1',0.500755,39,9800,'con siniestros'
varón,25,'menor de 25',2,Motocicleta,'menos de 1',0.005877,4,8319,'con siniestros'
varón,28,25-40,2,Turismo,'menos de 1',0.541135,10,16779,'con siniestros'
varón,30,25-40,3,Turismo,'menos de 1',0.754813,12,21708,'con siniestros'
varón,25,'menor de 25',2,Motocicleta,'menos de 1',0.005877,4,8319,'con siniestros'
varón,23,'menor de 25',4,Turismo,'menos de 1',0.311965,1,6436,'con siniestros'
varón,24,'menor de 25',6,Turismo,1-4,1.297803,4,19484,'con siniestros'
varón,24,'menor de 25',9,'Monovolumen/ 4x4','menos de 1',0.772688,4,17391,'con siniestros'
varón,24,'menor de 25',6,Turismo,1-4,3.256406,5,47692,'con siniestros'
varón,25,'menor de 25',2,Motocicleta,'menos de 1',0.005877,4,8319,'con siniestros'
varón,23,'menor de 25',4,Turismo,'menos de 1',0.311965,1,6436,'con siniestros'
varón,24,'menor de 25',6,Turismo,1-4,1.297803,4,19484,'con siniestros'
varón,24,'menor de 25',9,'Monovolumen/ 4x4','menos de 1',0.772688,4,17391,'con siniestros'
varón,24,'menor de 25',6,Turismo,1-4,3.256406,5,47692,'con siniestros'
varón,23,'menor de 25',4,Turismo,'menos de 1',0.311965,1,6436,'con siniestros'
varón,23,'menor de 25',4,Turismo,'menos de 1',0.311965,1,6436,'con siniestros'
varón,23,'menor de 25',4,Turismo,'menos de 1',0.311965,1,6436,'con siniestros'
varón,23,'menor de 25',4,Turismo,'menos de 1',1,3,18410,'con siniestros'
varón,24,'menor de 25',6,Turismo,1-4,3.256406,5,47692,'con siniestros'
mujer,19,'menor de 25',1,'Monovolumen/ 4x4',10+,14,1,219288,'sin siniestros'
mujer,19,'menor de 25',1,'Monovolumen/ 4x4',1-4,3.445786,0,60026,'sin siniestros'
mujer,19,'menor de 25',1,Turismo,10+,12,1,182725,'sin siniestros'
mujer,19,'menor de 25',1,Turismo,10+,12,1,186071,'sin siniestros'
varón,19,'menor de 25',1,'Monovolumen/ 4x4',10+,13,1,196985,'sin siniestros'
varón,19,'menor de 25',1,Turismo,10+,13,1,197885,'sin siniestros'
mujer,19,'menor de 25',1,'Monovolumen/ 4x4',1-4,3.117257,0,53858,'sin siniestros'
mujer,19,'menor de 25',1,Turismo,10+,12,1,182725,'sin siniestros'
mujer,19,'menor de 25',1,Turismo,10+,12,1,186071,'sin siniestros'
mujer,19,'menor de 25',1,Turismo,10+,14,0,213001,'sin siniestros'
varón,23,'menor de 25',3,Motocicleta,1-4,3.720955,3,60472,'sin siniestros'
varón,23,'menor de 25',5,Turismo,5-10,6.203306,4,95093,'sin siniestros'
mujer,23,'menor de 25',5,Turismo,5-10,8.363936,5,128546,'sin siniestros'
mujer,23,'menor de 25',5,Turismo,5-10,7.272017,5,113170,'sin siniestros'
mujer,23,'menor de 25',5,Turismo,5-10,8.363936,5,128546,'sin siniestros'
mujer,23,'menor de 25',5,Turismo,5-10,9.137956,4,140958,'sin siniestros'
mujer,23,'menor de 25',5,Turismo,5-10,9.837095,5,147663,'sin siniestros'
varón,23,'menor de 25',3,Turismo,1-4,1.029907,3,17772,'sin siniestros'
mujer,23,'menor de 25',3,Turismo,1-4,1.415969,4,20543,'sin siniestros'
mujer,23,'menor de 25',3,Motocicleta,1-4,1.742659,3,31726,'sin siniestros'
mujer,23,'menor de 25',3,Turismo,1-4,2.277608,3,44787,'sin siniestros'
varón,23,'menor de 25',5,Turismo,5-10,6.203306,4,95093,'sin siniestros'
varón,23,'menor de 25',5,Turismo,5-10,8.169152,5,127528,'sin siniestros'
mujer,23,'menor de 25',5,Turismo,5-10,8.410812,3,134589,'sin siniestros'
varón,23,'menor de 25',3,Turismo,1-4,1.029907,3,17772,'sin siniestros'
mujer,23,'menor de 25',3,Turismo,1-4,1.415969,4,20543,'sin siniestros'
varón,23,'menor de 25',3,Turismo,1-4,1.501529,4,30680,'sin siniestros'
mujer,23,'menor de 25',3,Motocicleta,1-4,1.742659,3,31726,'sin siniestros'
varón,23,'menor de 25',3,Motocicleta,1-4,3.619716,4,59810,'sin siniestros'
mujer,23,'menor de 25',5,Turismo,5-10,7.138647,5,109416,'sin siniestros'
mujer,23,'menor de 25',5,Turismo,5-10,8.363936,5,128546,'sin siniestros'
mujer,23,'menor de 25',5,Turismo,5-10,9.137956,4,140958,'sin siniestros'
mujer,23,'menor de 25',5,Turismo,5-10,9.837095,5,147663,'sin siniestros'
varón,23,'menor de 25',3,Turismo,1-4,1.029907,3,17772,'sin siniestros'
mujer,23,'menor de 25',3,Motocicleta,1-4,1.742659,3,31726,'sin siniestros'
mujer,23,'menor de 25',3,Turismo,1-4,2.592832,4,37936,'sin siniestros'
mujer,23,'menor de 25',3,Turismo,1-4,2.330156,4,39445,'sin siniestros'
mujer,23,'menor de 25',3,Motocicleta,1-4,2.126465,3,41313,'sin siniestros'
varón,23,'menor de 25',3,Motocicleta,1-4,3.619716,4,59810,'sin siniestros'
varón,23,'menor de 25',5,Turismo,5-10,6.203306,4,95093,'sin siniestros'
varón,23,'menor de 25',5,Turismo,5-10,7.212275,5,111199,'sin siniestros'
varón,23,'menor de 25',5,Turismo,5-10,8.169152,5,127528,'sin siniestros'
mujer,23,'menor de 25',5,Turismo,5-10,8.410812,3,134589,'sin siniestros'
mujer,23,'menor de 25',5,Turismo,5-10,9.137956,4,140958,'sin siniestros'
mujer,23,'menor de 25',5,Turismo,5-10,9.837095,5,147663,'sin siniestros'
varón,23,'menor de 25',3,Motocicleta,1-4,1.761541,3,30963,'sin siniestros'
varón,23,'menor de 25',3,Motocicleta,1-4,3.720955,3,60472,'sin siniestros'
mujer,23,'menor de 25',3,Turismo,1-4,3.897544,2,67230,'sin siniestros'
varón,23,'menor de 25',5,Turismo,5-10,6.203306,4,95093,'sin siniestros'
varón,23,'menor de 25',5,Turismo,5-10,7.212275,5,111199,'sin siniestros'
mujer,23,'menor de 25',5,Turismo,5-10,7.272017,5,113170,'sin siniestros'
varón,23,'menor de 25',3,Turismo,1-4,1.029907,3,17772,'sin siniestros'
varón,23,'menor de 25',3,Turismo,1-4,1.501529,4,30680,'sin siniestros'
mujer,23,'menor de 25',3,Turismo,1-4,2.330156,4,39445,'sin siniestros'
mujer,23,'menor de 25',5,Turismo,5-10,7.267755,5,107573,'sin siniestros'
mujer,23,'menor de 25',5,Turismo,5-10,8.410812,3,134589,'sin siniestros'
mujer,23,'menor de 25',5,Turismo,5-10,9.137956,4,140958,'sin siniestros'
mujer,23,'menor de 25',5,Turismo,5-10,9.837095,5,147663,'sin siniestros'
mujer,23,'menor de 25',3,Turismo,1-4,1.415969,4,20543,'sin siniestros'
mujer,23,'menor de 25',3,Motocicleta,1-4,1.742659,3,31726,'sin siniestros'
mujer,23,'menor de 25',3,Turismo,1-4,2.592832,4,37936,'sin siniestros'
mujer,23,'menor de 25',3,Motocicleta,1-4,2.126465,3,41313,'sin siniestros'
mujer,23,'menor de 25',3,Turismo,1-4,2.277608,3,44787,'sin siniestros'
varón,23,'menor de 25',3,Motocicleta,1-4,3.720955,3,60472,'sin siniestros'
varón,23,'menor de 25',3,Turismo,1-4,3.785186,2,64229,'sin siniestros'
mujer,23,'menor de 25',3,Turismo,1-4,3.897544,2,67230,'sin siniestros'
varón,23,'menor de 25',5,Turismo,5-10,6.866896,5,110101,'sin siniestros'
mujer,23,'menor de 25',5,Turismo,5-10,7.272017,5,113170,'sin siniestros'
mujer,23,'menor de 25',5,Turismo,5-10,8.410812,3,134589,'sin siniestros'
mujer,23,'menor de 25',5,Turismo,5-10,9.137956,4,140958,'sin siniestros'
varón,23,'menor de 25',3,Turismo,1-4,1.029907,3,17772,'sin siniestros'
mujer,23,'menor de 25',3,Turismo,1-4,2.277608,3,44787,'sin siniestros'
varón,23,'menor de 25',3,Turismo,1-4,3.785186,2,64229,'sin siniestros'
varón,23,'menor de 25',5,Turismo,5-10,6.203306,4,95093,'sin siniestros'
mujer,23,'menor de 25',5,Turismo,5-10,7.267755,5,107573,'sin siniestros'
varón,23,'menor de 25',5,Turismo,5-10,6.866896,5,110101,'sin siniestros'
mujer,23,'menor de 25',3,Turismo,1-4,1.415969,4,20543,'sin siniestros'
mujer,23,'menor de 25',3,Motocicleta,1-4,2.126465,3,41313,'sin siniestros'
mujer,23,'menor de 25',3,Turismo,1-4,3.897544,2,67230,'sin siniestros'
mujer,23,'menor de 25',5,Turismo,5-10,7.138647,5,109416,'sin siniestros'
mujer,23,'menor de 25',5,Turismo,5-10,8.363936,5,128546,'sin siniestros'
varón,23,'menor de 25',3,Turismo,1-4,1.501529,4,30680,'sin siniestros'
mujer,23,'menor de 25',3,Motocicleta,1-4,1.742659,3,31726,'sin siniestros'
mujer,23,'menor de 25',3,Motocicleta,1-4,2.126465,3,41313,'sin siniestros'
varón,23,'menor de 25',3,Motocicleta,1-4,3.720955,3,60472,'sin siniestros'
varón,23,'menor de 25',5,Turismo,5-10,5.075706,3,79168,'sin siniestros'
mujer,23,'menor de 25',5,Turismo,5-10,7.138647,5,109416,'sin siniestros'
mujer,25,'menor de 25',5,Turismo,5-10,6.532879,6,106434,'sin siniestros'
varón,25,'menor de 25',5,Turismo,5-10,9.263242,6,143620,'sin siniestros'
mujer,25,'menor de 25',5,Turismo,5-10,6.532879,6,106434,'sin siniestros'
varón,25,'menor de 25',5,Turismo,5-10,9.263242,6,143620,'sin siniestros'
mujer,25,'menor de 25',5,Turismo,5-10,6.532879,6,106434,'sin siniestros'
mujer,28,25-40,6,Turismo,1-4,1.116219,9,18522,'sin siniestros'
varón,28,25-40,6,Turismo,1-4,1.085302,10,18593,'sin siniestros'
mujer,28,25-40,6,Turismo,1-4,1.010755,9,19536,'sin siniestros'
mujer,28,25-40,6,Turismo,1-4,1.01811,9,19562,'sin siniestros'
varón,28,25-40,6,Turismo,1-4,1.091827,10,22376,'sin siniestros'
varón,28,25-40,6,Camioneta/Furgoneta,1-4,1.643993,9,29583,'sin siniestros'
varón,28,25-40,6,Turismo,1-4,1.985358,9,30498,'sin siniestros'
mujer,28,25-40,6,Camioneta/Furgoneta,1-4,2.018385,10,33223,'sin siniestros'
mujer,28,25-40,6,Camioneta/Furgoneta,1-4,2.843543,8,45489,'sin siniestros'
varón,28,25-40,6,Turismo,1-4,2.965558,9,47746,'sin siniestros'
mujer,28,25-40,6,Turismo,1-4,2.993892,9,50379,'sin siniestros'
varón,28,25-40,6,Turismo,1-4,3.68104,10,59566,'sin siniestros'
mujer,28,25-40,6,Camioneta/Furgoneta,1-4,3.906215,10,64376,'sin siniestros'
mujer,28,25-40,6,Turismo,1-4,1.116219,9,18522,'sin siniestros'
mujer,28,25-40,6,Turismo,1-4,1.01811,9,19562,'sin siniestros'
varón,28,25-40,6,Turismo,1-4,1.118464,9,19715,'sin siniestros'
varón,28,25-40,6,Camioneta/Furgoneta,1-4,1.643993,9,29583,'sin siniestros'
mujer,28,25-40,6,Camioneta/Furgoneta,1-4,2.018385,10,33223,'sin siniestros'
mujer,28,25-40,6,Turismo,1-4,2.717026,9,45373,'sin siniestros'
mujer,28,25-40,6,Camioneta/Furgoneta,1-4,2.513777,10,45518,'sin siniestros'
varón,28,25-40,6,Turismo,1-4,2.965558,9,47746,'sin siniestros'
mujer,28,25-40,6,Turismo,1-4,2.993892,9,50379,'sin siniestros'
varón,28,25-40,6,Camioneta/Furgoneta,1-4,3.805562,10,58481,'sin siniestros'
varón,28,25-40,6,Turismo,1-4,3.68104,10,59566,'sin siniestros'
mujer,28,25-40,6,Camioneta/Furgoneta,1-4,3.481338,9,62181,'sin siniestros'
mujer,28,25-40,6,Camioneta/Furgoneta,1-4,2.018385,10,33223,'sin siniestros'
varón,28,25-40,6,Turismo,1-4,2.082067,9,33577,'sin siniestros'
varón,28,25-40,6,Turismo,1-4,1.657083,10,33723,'sin siniestros'
mujer,28,25-40,6,Camioneta/Furgoneta,1-4,2.843543,8,45489,'sin siniestros'
mujer,28,25-40,6,Camioneta/Furgoneta,1-4,2.513777,10,45518,'sin siniestros'
mujer,28,25-40,6,Turismo,1-4,3.023492,10,47379,'sin siniestros'
varón,28,25-40,6,Turismo,1-4,2.965558,9,47746,'sin siniestros'
mujer,28,25-40,6,Turismo,1-4,2.993892,9,50379,'sin siniestros'
varón,28,25-40,6,Camioneta/Furgoneta,1-4,3.805562,10,58481,'sin siniestros'
varón,28,25-40,6,Camioneta/Furgoneta,1-4,3.788826,9,63476,'sin siniestros'
mujer,28,25-40,6,Turismo,1-4,1.116219,9,18522,'sin siniestros'
varón,28,25-40,6,Turismo,1-4,1.085302,10,18593,'sin siniestros'
mujer,28,25-40,6,Turismo,1-4,1.010755,9,19536,'sin siniestros'
varón,28,25-40,6,Turismo,1-4,1.118464,9,19715,'sin siniestros'
varón,28,25-40,6,Turismo,1-4,1.091827,10,22376,'sin siniestros'
varón,28,25-40,6,Turismo,1-4,1.657083,10,33723,'sin siniestros'
mujer,28,25-40,6,Turismo,1-4,2.324658,10,39630,'sin siniestros'
varón,28,25-40,6,Turismo,1-4,2.583236,9,49143,'sin siniestros'
varón,28,25-40,6,Turismo,1-4,1.085302,10,18593,'sin siniestros'
mujer,28,25-40,6,Turismo,1-4,1.010755,9,19536,'sin siniestros'
varón,28,25-40,6,Turismo,1-4,1.199077,10,24952,'sin siniestros'
varón,28,25-40,6,Camioneta/Furgoneta,1-4,1.294856,9,26084,'sin siniestros'
mujer,28,25-40,6,Camioneta/Furgoneta,1-4,2.018385,10,33223,'sin siniestros'
mujer,28,25-40,6,Turismo,1-4,2.717026,9,45373,'sin siniestros'
mujer,28,25-40,6,Camioneta/Furgoneta,1-4,2.843543,8,45489,'sin siniestros'
mujer,28,25-40,6,Turismo,1-4,2.993892,9,50379,'sin siniestros'
varón,28,25-40,6,Camioneta/Furgoneta,1-4,3.805562,10,58481,'sin siniestros'
mujer,28,25-40,6,Turismo,1-4,1.01811,9,19562,'sin siniestros'
varón,28,25-40,6,Camioneta/Furgoneta,1-4,1.643993,9,29583,'sin siniestros'
varón,28,25-40,6,Turismo,1-4,2.965558,9,47746,'sin siniestros'
varón,28,25-40,6,Camioneta/Furgoneta,1-4,3.805562,10,58481,'sin siniestros'
mujer,28,25-40,6,Camioneta/Furgoneta,1-4,3.474161,10,59760,'sin siniestros'
varón,28,25-40,6,Turismo,1-4,1.118464,9,19715,'sin siniestros'
mujer,28,25-40,6,Turismo,1-4,1.577182,10,28461,'sin siniestros'
varón,28,25-40,6,Camioneta/Furgoneta,1-4,1.643993,9,29583,'sin siniestros'
mujer,28,25-40,6,Turismo,1-4,3.023492,10,47379,'sin siniestros'
mujer,28,25-40,6,Turismo,1-4,2.993892,9,50379,'sin siniestros'
varón,28,25-40,6,Turismo,1-4,3.68104,10,59566,'sin siniestros'
mujer,28,25-40,6,Camioneta/Furgoneta,1-4,3.481338,9,62181,'sin siniestros'
mujer,28,25-40,6,Turismo,1-4,3.853616,10,66527,'sin siniestros'
mujer,28,25-40,6,Turismo,1-4,1.116219,9,18522,'sin siniestros'
mujer,28,25-40,6,Turismo,1-4,1.01811,9,19562,'sin siniestros'
varón,28,25-40,6,Camioneta/Furgoneta,1-4,1.294856,9,26084,'sin siniestros'
mujer,28,25-40,6,Turismo,1-4,1.577182,10,28461,'sin siniestros'
varón,28,25-40,6,Camioneta/Furgoneta,1-4,1.643993,9,29583,'sin siniestros'
varón,28,25-40,6,Turismo,1-4,1.985358,9,30498,'sin siniestros'
varón,28,25-40,6,Turismo,1-4,2.082067,9,33577,'sin siniestros'
varón,28,25-40,6,Turismo,1-4,2.965558,9,47746,'sin siniestros'
mujer,28,25-40,6,Camioneta/Furgoneta,1-4,3.481338,9,62181,'sin siniestros'
varón,28,25-40,6,Camioneta/Furgoneta,1-4,3.788826,9,63476,'sin siniestros'
mujer,28,25-40,6,Camioneta/Furgoneta,1-4,3.906215,10,64376,'sin siniestros'
varón,28,25-40,6,Turismo,1-4,1.091827,10,22376,'sin siniestros'
mujer,28,25-40,6,Camioneta/Furgoneta,1-4,1.705563,10,29519,'sin siniestros'
